Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25,2000,22,16,1418.0,15.8,4,3,7,4,0,0,1,0,0.25,0.19,0.44,0.25,0.44,30,14,46.7,1.9,0.89,0.13,0.29
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19,2006,1,0,45.0,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0.0,0.0,0.0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20,2006,12,2,378.0,4.2,2,0,2,2,0,0,0,0,0.48,0.00,0.48,0.48,0.48,12,3,25.0,2.86,0.71,0.17,0.67
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26,1999,13,11,943.0,10.5,2,0,2,0,2,2,1,0,0.19,0.00,0.19,0.00,0.00,11,5,45.5,1.05,0.48,0.0,0.0
5,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32,1993,11,7,575.0,6.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0.0,0.0,0.0
6,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25,2000,13,8,618.0,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0.0,0.0,0.0
7,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999,13,4,461.0,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20,3,1,33.3,0.59,0.2,0.0,0.0
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32,1993,18,18,1558.0,17.3,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06,16,5,31.3,0.92,0.29,0.06,0.2
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22,2003,19,16,1514.0,16.8,3,2,5,3,0,1,4,0,0.18,0.12,0.30,0.18,0.30,52,14,26.9,3.09,0.83,0.06,0.21
10,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25,2000,12,12,979.0,10.9,3,0,3,3,0,0,3,1,0.28,0.00,0.28,0.28,0.28,11,4,36.4,1.01,0.37,0.27,0.75
11,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25,2000,13,5,444.0,4.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,6,2,33.3,1.22,0.41,0.0,0.0
12,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26,1999,10,8,690.0,7.7,0,1,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13,6,1,16.7,0.78,0.13,0.0,0.0
13,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24,2001,8,7,526.0,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,6,0,0.0,1.03,0.0,0.0,0.0
14,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,22,2003,12,4,320.0,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28,9,4,44.4,2.53,1.13,0.11,0.25
