Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-098,2000,15.8,4,30,14,46.7,1.90,0.89,0.13,0.29,0,0
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19-260,2006,0.5,0,0,0,,0.00,0.00,,,0,0
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-016,2006,4.2,2,12,3,25.0,2.86,0.71,0.17,0.67,0,0
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-072,1999,10.5,2,11,5,45.5,01.05,0.48,0.00,0.00,2,2
5,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32-039,1993,6.4,0,0,0,,0.00,0.00,,,0,0
6,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-308,2000,6.9,0,0,0,,0.00,0.00,,,0,0
7,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26-194,1999,5.1,0,3,1,33.3,0.59,0.20,0.00,0.00,0,0
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-361,1993,17.3,1,16,5,31.3,0.92,0.29,0.06,0.20,0,0
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-306,2003,16.8,3,52,14,26.9,03.09,0.83,0.06,0.21,0,1
10,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-246,2000,10.9,3,11,4,36.4,01.01,0.37,0.27,0.75,0,0
11,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25-344,2000,4.9,0,6,2,33.3,1.22,0.41,0.00,0.00,0,0
12,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-324,1999,7.7,0,6,1,16.7,0.78,0.13,0.00,0.00,0,0
13,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-276,2001,5.8,0,6,0,0.0,01.03,0.00,0.00,,0,0
