Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-098,2000,22,16,"1,418",15.8,4,3,7,4,0,0,1,0,0.25,0.19,0.44,0.25,0.44
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19-260,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20-016,2006,12,2,378,4.2,2,0,2,2,0,0,0,0,0.48,0.00,0.48,0.48,0.48
4,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-072,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0.00,0.19,0.00,0.00
5,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32-039,1993,11,7,575,6.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
6,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-308,2000,13,8,618,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
7,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26-194,1999,13,4,461,5.1,0,1,1,0,0,0,0,0,0.00,0.20,0.20,0.00,0.20
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-361,1993,18,18,"1,558",17.3,1,0,1,1,0,0,5,0,0.06,0.00,0.06,0.06,0.06
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-306,2003,19,16,"1,514",16.8,3,2,5,3,0,1,4,0,0.18,0.12,0.30,0.18,0.30
10,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25-246,2000,12,12,979,10.9,3,0,3,3,0,0,3,1,0.28,0.00,0.28,0.28,0.28
11,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25-344,2000,13,5,444,4.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
12,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26-324,1999,10,8,690,7.7,0,1,1,0,0,0,5,0,0.00,0.13,0.13,0.00,0.13
13,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24-276,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
14,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,22-354,2003,12,4,320,3.6,1,0,1,1,0,0,1,0,0.28,0.00,0.28,0.28,0.28
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,37-352,1988,13,11,973,10.8,0,1,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
16,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27-184,1998,18,7,839,9.3,3,3,6,3,0,0,1,0,0.32,0.32,0.64,0.32,0.64
17,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19-268,2006,9,6,476,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19
18,Akor Adams,ng NGA,FW,Sevilla,es La Liga,25-364,2000,16,9,987,11.0,6,2,8,4,2,2,1,0,0.55,0.18,0.73,0.36,0.55
19,Che Adams,sct SCO,FW,Torino,it Serie A,29-199,1996,21,12,"1,23",13.7,3,1,4,3,0,0,0,0,0.22,0.07,0.29,0.22,0.29
20,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,26-348,1999,15,15,"1,195",13.3,2,1,3,2,0,0,5,0,0.15,0.08,0.23,0.15,0.23
21,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24-236,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40
22,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-126,1997,11,7,708,7.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
23,Jayden Addai,nl NED,MF,Como,it Serie A,20-155,2005,10,7,618,6.9,3,0,3,3,0,0,3,0,0.44,0.00,0.44,0.44,0.44
24,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24-010,2002,18,11,828,9.2,5,2,7,5,0,0,3,0,0.54,0.22,0.76,0.54,0.76
25,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,24-027,2002,14,9,653,7.3,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
26,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-160,2002,5,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
27,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25-263,2000,19,5,610,6.8,2,0,2,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30
28,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-261,2006,9,1,163,1.8,1,0,1,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55
